Model,Benchmark Score,Num Questions Parseable,Run Date
Qwen2.5-7B-Instruct-FP16,72.86,169.0,2026-03-06
Qwen2.5-7B-Instruct-BNB-4bit,74.57,169.0,2026-03-06
Qwen2.5-7B-Instruct-AWQ,70.76,170.0,2026-03-06
Qwen2.5-7B-Instruct-GPTQ-INT4,70.07,170.0,2026-03-06
Qwen2.5-7B-Instruct-2:4-Sparse,57.22,167.0,2026-03-09
Qwen2.5-7B-Instruct-Unstructured-Sparse,65.11,170.5,2026-03-09
Qwen2.5-14B-Instruct-FP16,78.30,170.0,2026-02-06
Qwen2.5-14B-Instruct-BNB-4bit,77.59,170.0,2026-02-06
Qwen2.5-14B-Instruct-AWQ,74.69,170.0,2026-02-06
Qwen2.5-14B-Instruct-GPTQ-INT4,74.80,168.5,2026-02-06
Qwen2.5-14B-Instruct-Trim,78.31,169.7,2026-02-06
Qwen2.5-14B-Instruct-2:4-Sparse,59.02,170.6,2026-03-09
Qwen2.5-14B-Instruct-Unstructured-Sparse,76.94,169.9,2026-03-09
Qwen2.5-32B-Instruct-FP16,79.73,170.0,2026-02-09
Qwen2.5-32B-Instruct-BNB-4bit,80.55,169.7,2026-02-09
Qwen2.5-32B-Instruct-AWQ,80.29,171.0,2026-02-09
Qwen2.5-32B-Instruct-GPTQ-INT4,77.98,169.0,2026-02-09
Qwen2.5-32B-Instruct-2:4-Sparse,71.11,169.0,2026-03-09
Qwen2.5-32B-Instruct-Unstructured-Sparse,77.07,168.0,2026-03-09
Meta-Llama-3.1-8B-Instruct-FP16,65.98,171.0,2026-03-06
Meta-Llama-3.1-8B-Instruct-BNB-4bit,67.06,171.0,2026-03-06
Meta-Llama-3.1-8B-Instruct-AWQ,59.97,171.0,2026-03-06
Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,59.28,171.0,2026-03-06
Meta-Llama-3.1-8B-Instruct-2:4-Sparse,37.60,167.9,2026-03-09
Meta-Llama-3.1-8B-Instruct-Unstructured-Sparse,45.25,169.0,2026-03-09
DeepSeek-V2-Lite-16B-FP16,61.67,169.7,2026-03-11
DeepSeek-V2-Lite-16B-BNB-4bit,59.27,170.0,2026-03-03
DeepSeek-V2-Lite-16B-AWQ,54.74,168.4,2026-03-03
DeepSeek-V2-Lite-16B-2:4-Sparse,-21.23,146.3,2026-03-11
DeepSeek-V2-Lite-16B-Unstructured-Sparse,FAILED,108.2,2026-03-11
Llama-70B-FP16,82.32,171.0,2026-01-16
Llama-70B-4bit,81.89,171.0,2026-01-16
Llama-70B-AWQ,81.16,171.0,2026-01-28
Llama-70B-GPTQ-INT4,80.86,171.0,2026-01-16
Llama-70B-GPTQ-INT8,81.91,171.0,2026-01-16
Llama-70B-2:4-Sparse,67.15,170.0,2026-03-10
Llama-70B-Unstructured-Sparse,76.91,171.0,2026-03-10
